,prices,address,bed_num,home_type,city,zip_code,baths,sqft,state,zipcode,county,median_income
197,220000.0,190 Fifteen Mile Rd NW,3.0,House for sale,Sparta,MI 49345,2.0,1804.0,MI,49345,139,75882
198,295000.0,1305 County Road Pre,3.0,House for sale,Ishpeming,MI 49849,2.0,1972.0,MI,49849,103,69244
199,245000.0,30250 Champine St,3.0,House for sale,Saint Clair Shores,MI 48082,3.0,1582.0,MI,48082,99,77656
200,120000.0,320 S Hamilton St,3.0,House for sale,Marshall,MI 49068,2.0,1283.0,MI,49068,25,45547
201,76900.0,6554 Robin Dr,3.0,House for sale,Harrison,MI 48625,1.0,1000.0,MI,48625,113,53516
202,349900.0,14060 Lincoln St,4.0,House for sale,Grand Haven,MI 49417,3.0,2160.0,MI,49417,139,75882
203,209000.0,1902 Hampden Rd,3.0,House for sale,Flint,MI 48503,3.0,1923.0,MI,48503,49,42019
204,289900.0,6743 Juneview Ct NE,4.0,House for sale,Rockford,MI 49341,3.0,2292.0,MI,49341,81,91808
205,395000.0,32923 Robeson St,5.0,House for sale,Saint Clair Shores,MI 48082,4.0,2631.0,MI,48082,99,77656
206,220000.0,190 Fifteen Mile Rd NW,3.0,House for sale,Sparta,MI 49345,2.0,1804.0,MI,49345,139,75882
207,295000.0,1305 County Road Pre,3.0,House for sale,Ishpeming,MI 49849,2.0,1972.0,MI,49849,103,69244
208,245000.0,30250 Champine St,3.0,House for sale,Saint Clair Shores,MI 48082,3.0,1582.0,MI,48082,99,77656
209,120000.0,320 S Hamilton St,3.0,House for sale,Marshall,MI 49068,2.0,1283.0,MI,49068,25,45547
210,76900.0,6554 Robin Dr,3.0,House for sale,Harrison,MI 48625,1.0,1000.0,MI,48625,113,53516
211,349900.0,14060 Lincoln St,4.0,House for sale,Grand Haven,MI 49417,3.0,2160.0,MI,49417,139,75882
212,209000.0,1902 Hampden Rd,3.0,House for sale,Flint,MI 48503,3.0,1923.0,MI,48503,49,42019
213,289900.0,6743 Juneview Ct NE,4.0,House for sale,Rockford,MI 49341,3.0,2292.0,MI,49341,81,91808
214,395000.0,32923 Robeson St,5.0,House for sale,Saint Clair Shores,MI 48082,4.0,2631.0,MI,48082,99,77656
215,220000.0,190 Fifteen Mile Rd NW,3.0,House for sale,Sparta,MI 49345,2.0,1804.0,MI,49345,139,75882
216,295000.0,1305 County Road Pre,3.0,House for sale,Ishpeming,MI 49849,2.0,1972.0,MI,49849,103,69244
217,245000.0,30250 Champine St,3.0,House for sale,Saint Clair Shores,MI 48082,3.0,1582.0,MI,48082,99,77656
218,120000.0,320 S Hamilton St,3.0,House for sale,Marshall,MI 49068,2.0,1283.0,MI,49068,25,45547
219,76900.0,6554 Robin Dr,3.0,House for sale,Harrison,MI 48625,1.0,1000.0,MI,48625,113,53516
220,349900.0,14060 Lincoln St,4.0,House for sale,Grand Haven,MI 49417,3.0,2160.0,MI,49417,139,75882
221,209000.0,1902 Hampden Rd,3.0,House for sale,Flint,MI 48503,3.0,1923.0,MI,48503,49,42019
222,289900.0,6743 Juneview Ct NE,4.0,House for sale,Rockford,MI 49341,3.0,2292.0,MI,49341,81,91808
223,395000.0,32923 Robeson St,5.0,House for sale,Saint Clair Shores,MI 48082,4.0,2631.0,MI,48082,99,77656
224,220000.0,190 Fifteen Mile Rd NW,3.0,House for sale,Sparta,MI 49345,2.0,1804.0,MI,49345,139,75882
