,prices,address,bed_num,home_type,city,zip_code,baths,sqft,state,zipcode,county
243,"$399,000",5583 Frontier Trl,3.0, House for sale, Gaylord, MI 49735,3.0,1750.0,MI,49735,26137
244,"$349,000",333 E Maplehurst St,3.0, Coming soon, Ferndale, MI 48220,2.0,1428.0,MI,48220,26125
245,"$250,000",232 Adams Ct,3.0, Coming soon, Ferndale, MI 48220,2.0,1172.0,MI,48220,26125
246,"$320,000",8600 Rattalee Lake Rd,3.0, House for sale, Clarkston, MI 48348,3.0,1561.0,MI,48348,26125
247,"$395,000",4224 Woodchuck Run Dr,3.0, House for sale, Middleville, MI 49333,2.0,1603.0,MI,49333,26015
248,"$395,000",4224 Woodchuck Run Dr,3.0, House for sale, Middleville, MI 49333,2.0,1603.0,MI,49333,26081
249,"$395,000",4224 Woodchuck Run Dr,3.0, House for sale, Middleville, MI 49333,2.0,1603.0,MI,49333,26005
250,"$179,900",22420 California St,3.0, House for sale, Saint Clair Shores, MI 48080,2.0,981.0,MI,48080,26163
251,"$179,900",22420 California St,3.0, House for sale, Saint Clair Shores, MI 48080,2.0,981.0,MI,48080,26099
252,"$219,900",22429 Trombly St,3.0, Coming soon, Saint Clair Shores, MI 48080,2.0,972.0,MI,48080,26163
253,"$219,900",22429 Trombly St,3.0, Coming soon, Saint Clair Shores, MI 48080,2.0,972.0,MI,48080,26099
254,"$400,000",32825 Bordman Rd,3.0, House for sale, Riley, MI 48041,2.0,2772.0,MI,48041,26147
255,"$400,000",32825 Bordman Rd,3.0, House for sale, Riley, MI 48041,2.0,2772.0,MI,48041,26099
256,"$110,000",1216 Somerset Ln,4.0, House for sale, Flint, MI 48503,4.0,1646.0,MI,48503,26049
257,"$169,000",1030 S 1st St,3.0, House for sale, Au Gres, MI 48703,1.0,1056.0,MI,48703,26011
258,"$275,000",1305 Thomas St SE,4.0, House for sale, Grand Rapids, MI 49506,2.0,1670.0,MI,49506,26081
259,"$87,500",Fredrick St #52-55,4.0, Lot / Land for sale, Southfield, MI 48033,,,MI,48033,26125
260,"$250,000",14351 Brandywine Rd,3.0, Coming soon, Sterling Heights, MI 48312,2.0,1191.0,MI,48312,26099
261,"$248,000",7717 Sofia Dr SW #15,2.0, Condo for sale, Byron Center, MI 49315,2.0,1400.0,MI,49315,26005
262,"$248,000",7717 Sofia Dr SW #15,2.0, Condo for sale, Byron Center, MI 49315,2.0,1400.0,MI,49315,26081
263,"$248,000",7717 Sofia Dr SW #15,2.0, Condo for sale, Byron Center, MI 49315,2.0,1400.0,MI,49315,26139
264,"$349,000",1014 Irving Ave,3.0, House for sale, Royal Oak, MI 48067,2.0,1948.0,MI,48067,26125
265,"$498,000",1089 Huckleberry Ln SE,4.0, House for sale, Grand Rapids, MI 49546,4.0,2582.0,MI,49546,26081
266,"$339,900",2384 Durfee Rd,3.0, House for sale, Luzerne, MI 48636,1.0,1528.0,MI,48636,26135
267,"$489,900",9273 Matthews Hwy,4.0, House for sale, Tecumseh, MI 49286,3.0,2115.0,MI,49286,26091
268,"$589,900",2584 W Taylor Rd,4.0, House for sale, Tecumseh, MI 49286,4.0,3650.0,MI,49286,26091
269,"$240,000",1315 Waters Edge Ct,2.0, House for sale, Whitehall, MI 49461,2.0,1298.0,MI,49461,26121
270,"$115,000",4017 Summit St,4.0, House for sale, Weston, MI 49289,2.0,1968.0,MI,49289,26091
271,"$254,900",349 E Peterson Dr,5.0, House for sale, Brighton, MI 48114,3.0,2112.0,MI,48114,26093
272,"$425,000",42817 N Hampton Dr,4.0, House for sale, Sterling Heights, MI 48314,4.0,1980.0,MI,48314,26099
