zipcode,county
48186,26163
48189,26093
48189,26161
48146,26163
48436,26049
48436,26155
48444,26147
48444,26087
48449,26155
48449,26049
48472,26151
48453,26157
48453,26151
48453,26087
48738,26069
48738,26001
48744,26157
48744,26087
48733,26157
48824,26065
48857,26155
49093,26149
49093,26027
49033,26025
49770,26031
49770,26047
49770,26029
49712,26029
49712,26009
49868,26033
49868,26095
49738,26135
49738,26039
49738,26137
49738,26079
49705,26031
49434,26139
49434,26005
48882,26155
48347,26125
48411,26049
48021,26099
48329,26125
49242,26059
49286,26091
48320,26125
48164,26115
48164,26163
48105,26161
48451,26049
48451,26093
48417,26049
48417,26145
48416,26147
48416,26087
48416,26151
48205,26163
48617,26073
48617,26035
48626,26111
48626,26145
48757,26157
48757,26145
48757,26017
48622,26035
48622,26073
49090,26005
49090,26159
49067,26027
49067,26149
49067,26159
49078,26159
49078,26077
49078,26005
49013,26159
49343,26123
49343,26081
49343,26117
49676,26009
49676,26079
49460,26139
49779,26141
49746,26007
49746,26119
49746,26141
48387,26125
49959,26053
49925,26131
48630,26143
49634,26101
48410,26151
48605,26145
48041,26147
48041,26099
48032,26151
48032,26147
48341,26125
49250,26059
49250,26075
49252,26075
49252,26023
49252,26025
49252,26059
49240,26075
49240,26161
48134,26115
48134,26163
48123,26163
48623,26017
48623,26145
48623,26111
48809,26067
48809,26117
48809,26081
48730,26069
48854,26065
48892,26065
48892,26093
49006,26077
49323,26081
49323,26005
49323,26139
49425,26127
49425,26121
49425,26123
49419,26005
49953,26131
49901,26061
49901,26083
49903,26071
49588,26081
49706,26031
49706,26047
49622,26009
49464,26139
49464,26005
49440,26121
49509,26081
49801,26043
49769,26031
49769,26047
49818,26103
49818,26041
49866,26103
48501,26049
48807,26037
48807,26145
48807,26057
48872,26065
48872,26093
48872,26155
49081,26077
49106,26021
49637,26055
48311,26099
48659,26017
48659,26129
48659,26011
49667,26113
49468,26081
48619,26119
48619,26135
49922,26061
49717,26031
49314,26005
48342,26125
48376,26125
48505,26049
48529,26049
48154,26163
48183,26163
48188,26163
48104,26161
48124,26163
48150,26163
48208,26163
48762,26007
48762,26001
48820,26037
48881,26067
48862,26057
49015,26025
49015,26077
49345,26139
49345,26081
49336,26107
49336,26117
49336,26123
49426,26139
49426,26005
49660,26105
49660,26101
49646,26079
49630,26089
49630,26019
49707,26007
49707,26141
49621,26089
49503,26081
49504,26081
49834,26043
49745,26097
48074,26147
49961,26061
49947,26053
49947,26131
49963,26061
49666,26055
48033,26125
48048,26099
48075,26125
48076,26125
48370,26125
48324,26125
49201,26075
49272,26075
48603,26145
48609,26145
49265,26091
49247,26059
49247,26091
48238,26163
48233,26163
48174,26163
48153,26163
48101,26163
48418,26093
48418,26155
48418,26049
48503,26049
48657,26111
48737,26001
48737,26069
48760,26087
48760,26157
48893,26073
49107,26021
49111,26027
49111,26021
49337,26107
49337,26117
49337,26123
49635,26019
49675,26101
49690,26079
49690,26055
49690,26009
49740,26047
49783,26033
49720,26009
49720,26029
49720,26047
49849,26103
49751,26119
49751,26137
48866,26037
48866,26155
49102,26027
49102,26021
49077,26077
49411,26101
49411,26105
49948,26131
49282,26059
49884,26153
49884,26003
48870,26067
48620,26111
49792,26031
49020,26025
48067,26125
48061,26147
48382,26125
48381,26125
48359,26125
49249,26059
49249,26075
49285,26093
49285,26161
49285,26075
49285,26065
49245,26025
49245,26023
49245,26075
49245,26059
48306,26099
48306,26125
48128,26163
48143,26093
48429,26155
48429,26049
48450,26151
48219,26163
48219,26125
48705,26001
48637,26057
48637,26145
48637,26111
48823,26037
48823,26065
48864,26065
48891,26073
48891,26057
48891,26117
49083,26015
49083,26077
49115,26021
49346,26107
49346,26123
